txn_date,bank,type,total,success
2025-11-18,ALLY BANK,subscription_trans,1,0
2025-11-18,AMERICAN EXPRESS US CARS,first_trans,1,0
2025-11-18,AMERICAN EXPRESS US CONSUMER,first_trans,2,0
2025-11-18,AMERICAN EXPRESS US CONSUMER,subscription_trans,3,1
2025-11-18,AMERICAN EXPRESS US CONSUMER,token_trans,40,31
2025-11-18,AMERICAN STATE BANK,other_trans,1,1
2025-11-18,"ASSOCIATED BANK, N.A.",subscription_trans,1,0
2025-11-18,ATLANTIC UNION BANK,token_trans,12,7
2025-11-18,BANK OF AMERICA - CONSUMER CREDIT,subscription_trans,7,7
2025-11-18,BANK OF AMERICA - CONSUMER CREDIT,token_trans,11,11
2025-11-18,"BANK OF AMERICA, NATIONAL ASSOCIATION",first_trans,3,1
2025-11-18,"BANK OF AMERICA, NATIONAL ASSOCIATION",other_trans,3,1
2025-11-18,"BANK OF AMERICA, NATIONAL ASSOCIATION",subscription_trans,8,5
2025-11-18,"BANK OF AMERICA, NATIONAL ASSOCIATION",token_trans,40,36
2025-11-18,"BANK OF MISSOURI, THE",subscription_trans,1,0
2025-11-18,"BANK OF MISSOURI, THE",token_trans,9,8
2025-11-18,BANK OF THE WEST,other_trans,1,1
2025-11-18,BARCLAYS BANK DELAWARE,first_trans,2,2
2025-11-18,BARCLAYS BANK DELAWARE,other_trans,2,2
2025-11-18,BARCLAYS BANK DELAWARE,subscription_trans,2,2
2025-11-18,BARCLAYS BANK DELAWARE,token_trans,7,4
2025-11-18,BAY FEDERAL CREDIT UNION,subscription_trans,1,0
2025-11-18,BOEING EMPLOYEES CREDIT UNION,subscription_trans,2,2
2025-11-18,CAMPUS FEDERAL CREDIT UNION,token_trans,2,2
2025-11-18,"CAPITAL ONE, NATIONAL ASSOCIATION",first_trans,2,1
2025-11-18,"CAPITAL ONE, NATIONAL ASSOCIATION",other_trans,1,1
2025-11-18,"CAPITAL ONE, NATIONAL ASSOCIATION",subscription_trans,16,9
2025-11-18,"CAPITAL ONE, NATIONAL ASSOCIATION",token_trans,73,53
2025-11-18,CARD SERVICES FOR CREDIT UNIONS,other_trans,4,4
2025-11-18,CENTRAL PACIFIC BANK,token_trans,1,1
2025-11-18,"CHASE BANK USA, N.A.",token_trans,3,3
2025-11-18,CITIBANK N.A.,first_trans,3,2
2025-11-18,CITIBANK N.A.,other_trans,1,1
2025-11-18,CITIBANK N.A.,subscription_trans,5,1
2025-11-18,CITIBANK N.A.,token_trans,35,23
2025-11-18,"CITIBANK, N.A.- COSTCO",other_trans,1,1
2025-11-18,"CITIBANK, N.A.- COSTCO",subscription_trans,2,2
2025-11-18,"CITIBANK, N.A.- COSTCO",token_trans,25,13
2025-11-18,"CITIZENS BANK OF WEST VIRGINIA, INC.",token_trans,1,1
2025-11-18,"CITIZENS BANK, N.A.",token_trans,1,1
2025-11-18,COASTAL COMMUNITY BANK,other_trans,2,1
2025-11-18,COASTAL COMMUNITY BANK,subscription_trans,2,2
2025-11-18,COASTAL COMMUNITY BANK,token_trans,1,1
2025-11-18,COASTAL FEDERAL CREDIT UNION,token_trans,2,2
2025-11-18,COMENITY CAPITAL BANK,token_trans,2,2
2025-11-18,COMMUNITY FEDERAL SAVINGS BANK,first_trans,1,1
2025-11-18,COMMUNITY FEDERAL SAVINGS BANK,other_trans,3,3
2025-11-18,"COMPUTER SERVICES, INC.",first_trans,1,1
2025-11-18,"COMPUTER SERVICES, INC.",subscription_trans,1,0
